Date,time,A,As,B,C,D
"Jul 12, 2022",21:30:21,2,1,1,5,6
"Jul 12, 2022",21:30:21,2,1,1,5,6
"Jul 12, 2022",21:30:21,2,1,1,5,6
"Jul 12, 2022",21:30:22,2,1,1,5,6
"Jul 12, 2022",21:30:22,2,1,1,5,6
"Jul 12, 2022",21:30:23,2,1,1,5,6
"Jul 12, 2022",21:30:23,2,1,1,5,6
"Jul 12, 2022",21:30:23,2,1,1,5,6
"Jul 12, 2022",21:30:24,2,1,1,5,6
"Jul 12, 2022",21:30:24,2,1,1,5,6
"Jul 12, 2022",21:30:24,2,1,1,5,6
"Jul 12, 2022",21:30:25,2,1,1,5,6
"Jul 12, 2022",21:30:25,2,1,1,5,6
"Jul 12, 2022",21:30:26,2,1,1,5,6
"Jul 12, 2022",21:30:26,2,1,1,5,6
"Jul 12, 2022",21:30:27,2,1,1,5,6
"Jul 12, 2022",21:30:27,2,1,1,5,6
"Jul 12, 2022",21:30:28,2,1,1,5,6
"Jul 12, 2022",21:30:28,2,1,1,5,6
"Jul 12, 2022",21:30:28,2,1,1,5,6
"Jul 12, 2022",21:30:29,2,1,1,5,6
"Jul 12, 2022",21:30:29,2,1,1,5,6
"Jul 12, 2022",21:30:30,2,1,1,5,6
"Jul 12, 2022",21:30:30,2,1,1,5,6
"Jul 12, 2022",21:30:30,2,1,1,5,6
"Jul 12, 2022",21:30:31,2,1,1,5,6
"Jul 12, 2022",21:30:31,2,1,1,5,7
"Jul 12, 2022",21:30:32,2,1,1,5,7
"Jul 12, 2022",21:30:32,2,1,1,5,7
"Jul 12, 2022",21:30:32,2,1,1,5,6
"Jul 12, 2022",21:30:33,2,1,1,5,7
"Jul 12, 2022",21:30:33,2,1,1,5,6
"Jul 12, 2022",21:30:34,2,1,1,5,6
"Jul 12, 2022",21:30:34,2,1,1,5,7
"Jul 12, 2022",21:30:34,2,1,1,5,7
"Jul 12, 2022",21:30:35,2,1,1,5,7
"Jul 12, 2022",21:30:35,2,1,1,5,7
"Jul 12, 2022",21:30:35,2,1,1,5,7
"Jul 12, 2022",21:30:36,2,1,1,5,7
"Jul 12, 2022",21:30:36,2,1,1,5,7
"Jul 12, 2022",21:30:36,2,1,1,5,7
"Jul 12, 2022",21:30:37,2,1,1,5,7
"Jul 12, 2022",21:30:37,2,1,1,5,7
"Jul 12, 2022",21:30:38,2,1,1,5,7
"Jul 12, 2022",21:30:38,2,1,1,5,7
"Jul 12, 2022",21:30:38,2,1,1,5,7
"Jul 12, 2022",21:30:39,2,1,1,5,6
"Jul 12, 2022",21:30:39,2,1,1,5,7
"Jul 12, 2022",21:30:40,2,1,1,5,7
"Jul 12, 2022",21:30:40,2,1,1,5,7
"Jul 12, 2022",22:40:28,2,1,1,5,6
"Jul 12, 2022",22:42:25,2,1,1,5,6
"Jul 12, 2022",22:42:26,2,1,1,5,6
"Jul 12, 2022",22:42:26,2,1,1,5,6
"Jul 12, 2022",22:42:27,2,1,1,5,6
"Jul 12, 2022",22:42:27,2,1,1,5,6
"Jul 12, 2022",22:42:28,2,1,1,5,6
"Jul 12, 2022",22:42:28,2,1,1,5,6
"Jul 12, 2022",22:43:49,2,1,1,5,6
"Jul 12, 2022",22:43:49,2,1,1,5,6
"Jul 12, 2022",22:43:50,2,1,1,5,6
"Jul 12, 2022",22:43:50,2,1,1,5,6
"Jul 12, 2022",22:43:51,2,1,1,5,6
"Jul 12, 2022",22:43:51,2,1,1,5,6
"Jul 12, 2022",22:43:52,2,1,1,5,6
"Jul 12, 2022",22:44:24,2,1,1,5,6
